STREET,CITY,ZIP-CODE,BEDROOMS,BATHS,AREA(SQ-FT),PRICE,PRICE/SQ-FT,PROPERTY AGE,LOCALITY RATING,TYPE,SALE-DAY,SALE DATE,LATTITUDE,LONGITUDE
6716 TAREYTON WAY,CITRUS HEIGHTS,95621,3,2,1104,156000,141.3,13,5,Residential,Tuesday,20-May,38.693724,-121.307169
2028 ROBERT WAY,SACRAMENTO,95825,2,1,810,156000,192.59,18,2,Residential,Tuesday,20-May,38.609982,-121.419263
9346 AIZENBERG CIR,ELK GROVE,95624,2,2,1123,156000,138.91,22,9,Residential,Tuesday,20-May,38.41875,-121.370019
4524 LOCH HAVEN WAY,SACRAMENTO,95842,2,1,904,157788,174.54,13,3,Residential,Tuesday,20-May,38.67273,-121.359645
7140 BLUE SPRINGS WAY,CITRUS HEIGHTS,95621,3,2,1156,161653,139.84,14,5,Residential,Tuesday,20-May,38.720653,-121.302241
4631 11TH AVE,SACRAMENTO,95820,2,1,1321,161829,122.5,9,4,Residential,Tuesday,20-May,38.541965,-121.452132
3228 BAGGAN CT,ANTELOPE,95843,3,2,1392,165000,118.53,15,4,Residential,Tuesday,20-May,38.715346,-121.388163
8515 DARTFORD DR,SACRAMENTO,95823,3,2,1439,168000,116.75,12,3,Residential,Tuesday,20-May,38.448288,-121.420719
4500 TIPPWOOD WAY,SACRAMENTO,95842,3,2,1159,169000,145.82,6,2,Residential,Tuesday,20-May,38.69951,-121.359989
2460 EL ROCCO WAY,RANCHO CORDOVA,95670,3,2,1671,175000,104.73,15,2,Residential,Tuesday,20-May,38.591477,-121.31534
8244 SUNBIRD WAY,SACRAMENTO,95823,3,2,1740,176250,101.29,16,8,Residential,Tuesday,20-May,38.457654,-121.431381
5841 VALLEY VALE WAY,SACRAMENTO,95823,3,2,1265,179000,141.5,19,3,Residential,Tuesday,20-May,38.461283,-121.434322
7863 CRESTLEIGH CT,ANTELOPE,95843,2,2,1007,180000,178.75,21,4,Residential,Tuesday,20-May,38.710889,-121.358876
7129 SPRINGMONT DR,ELK GROVE,95758,3,2,1716,180400,105.13,7,3,Residential,Tuesday,20-May,38.417649,-121.420294
8284 RED FOX WAY,ELK GROVE,95758,4,2,1685,182000,108.01,12,3,Residential,Tuesday,20-May,38.417182,-121.397231
2219 EL CANTO CIR,RANCHO CORDOVA,95670,4,2,1829,184500,100.87,19,2,Residential,Tuesday,20-May,38.592383,-121.318669
8907 GEMWOOD WAY,ELK GROVE,95758,3,2,1555,185000,118.97,25,7,Residential,Tuesday,20-May,38.435471,-121.441173
5925 MALEVILLE AVE,CARMICHAEL,95608,4,2,1120,189000,168.75,19,5,Residential,Tuesday,20-May,38.666564,-121.325717
7031 CANEVALLEY CIR,CITRUS HEIGHTS,95621,3,2,1137,194000,170.62,14,4,Residential,Tuesday,20-May,38.718693,-121.303619
3949 WILDROSE WAY,SACRAMENTO,95826,3,1,1174,195000,166.1,13,8,Residential,Tuesday,20-May,38.543697,-121.366683
4437 MITCHUM CT,ANTELOPE,95843,3,2,1393,200000,143.58,8,2,Residential,Tuesday,20-May,38.704407,-121.36113
2778 KAWEAH CT,CAMERON PARK,95682,3,1,1349,201000,149,10,4,Residential,Tuesday,20-May,38.694052,-120.995589
1636 ALLENWOOD CIR,LINCOLN,95648,4,2,1436,202500,141.02,22,2,Residential,Tuesday,20-May,38.879192,-121.309477
8151 QUAIL RIDGE CT,SACRAMENTO,95828,3,2,1289,205000,159.04,21,3,Residential,Tuesday,20-May,38.461296,-121.390858
4899 WIND CREEK DR,SACRAMENTO,95838,4,2,1799,205000,113.95,17,2,Residential,Tuesday,20-May,38.655887,-121.446119
2370 BIG CANYON CREEK RD,PLACERVILLE,95667,3,2,1809,205000,113.32,21,9,Residential,Tuesday,20-May,38.74458,-120.794254
6049 HAMBURG WAY,SACRAMENTO,95823,4,3,1953,205000,104.97,15,2,Residential,Tuesday,20-May,38.443253,-121.431992
4232 71ST ST,SACRAMENTO,95820,2,1,723,207000,286.31,18,7,Residential,Tuesday,20-May,38.536741,-121.42115
3361 BOW MAR CT,CAMERON PARK,95682,2,2,949,210000,221.29,13,2,Residential,Tuesday,20-May,38.69437,-120.996602
1889 COLD SPRINGS RD,PLACERVILLE,95667,2,1,948,211500,223.1,19,2,Residential,Tuesday,20-May,38.739774,-120.860243
5805 HIMALAYA WAY,CITRUS HEIGHTS,95621,4,2,1578,215000,136.25,14,4,Residential,Tuesday,20-May,38.696489,-121.328555
7944 SYLVAN OAK WAY,CITRUS HEIGHTS,95610,3,2,1317,215000,163.25,19,9,Residential,Tuesday,20-May,38.710388,-121.261096
3139 SPOONWOOD WAY Unit 1,SACRAMENTO,95833,3,2,1339,215500,160.94,9,3,Residential,Tuesday,20-May,38.626582,-121.52151
6217 LEOLA WAY,SACRAMENTO,95824,3,1,1360,222381,163.52,21,5,Residential,Tuesday,20-May,38.513066,-121.451909
2340 HURLEY WAY,SACRAMENTO,95825,3,2,1498,225000,150.2,20,4,Condo,Tuesday,20-May,38.588816,-121.408549
3035 BRUNNET LN,SACRAMENTO,95833,3,2,1522,225000,147.83,6,6,Residential,Tuesday,20-May,38.624762,-121.522775
3025 EL PRADO WAY,SACRAMENTO,95825,4,2,1751,225000,128.5,8,8,Residential,Tuesday,20-May,38.606603,-121.394147
9387 GRANITE FALLS CT,ELK GROVE,95624,3,2,1465,225000,153.58,16,3,Residential,Tuesday,20-May,38.419214,-121.348533
9257 CALDERA WAY,SACRAMENTO,95826,4,2,1605,228000,142.06,21,9,Residential,Tuesday,20-May,38.55821,-121.355022
441 ARLINGDALE CIR,RIO LINDA,95673,4,2,1475,229665,155.71,5,3,Residential,Tuesday,20-May,38.702893,-121.454949
2284 LOS ROBLES RD,MEADOW VISTA,95722,3,1,1216,230000,189.14,23,2,Residential,Tuesday,20-May,39.008159,-121.03623
8164 CHENIN BLANC LN,FAIR OAKS,95628,2,2,1315,230000,174.9,8,6,Residential,Tuesday,20-May,38.665644,-121.259969
4620 CHAMBERLIN CIR,ELK GROVE,95757,3,2,1567,230000,146.78,15,7,Residential,Tuesday,20-May,38.390557,-121.449805
5340 BIRK WAY,SACRAMENTO,95835,3,2,1776,234000,131.76,21,7,Residential,Tuesday,20-May,38.672495,-121.515251
51 ANJOU CIR,SACRAMENTO,95835,3,2,2187,235000,107.45,18,2,Residential,Tuesday,20-May,38.661658,-121.540633
2125 22ND AVE,SACRAMENTO,95822,3,1,1291,236250,183,19,7,Residential,Tuesday,20-May,38.534596,-121.493121
611 BLOSSOM ROCK LN,FOLSOM,95630,3,2,1440,240000,166.67,9,6,Condo,Tuesday,20-May,38.6457,-121.1197
8830 ADUR RD,ELK GROVE,95624,3,1,1483,242000,163.18,20,9,Residential,Tuesday,20-May,38.43742,-121.372876
7344 BUTTERBALL WAY,SACRAMENTO,95842,3,2,1503,245000,163.01,5,3,Residential,Tuesday,20-May,38.699489,-121.361828
8219 GWINHURST CIR,SACRAMENTO,95828,4,3,2491,245000,98.35,8,6,Residential,Tuesday,20-May,38.459711,-121.384283
3240 S ST,SACRAMENTO,95816,2,1,1269,245000,193.07,25,6,Residential,Tuesday,20-May,38.562296,-121.467489
221 PICASSO CIR,SACRAMENTO,95835,4,3,1350,250000,185.19,22,4,Residential,Tuesday,20-May,38.676658,-121.528128
5706 GREENACRES WAY,ORANGEVALE,95662,3,2,1176,250000,212.59,7,2,Residential,Tuesday,20-May,38.669882,-121.213533
6900 LONICERA DR,ORANGEVALE,95662,4,2,1456,250000,171.7,8,8,Residential,Tuesday,20-May,38.692199,-121.250975
419 DAWNRIDGE RD,ROSEVILLE,95678,3,2,1498,250000,166.89,12,5,Residential,Tuesday,20-May,38.725283,-121.297953
5312 MARBURY WAY,ANTELOPE,95843,3,2,1574,255000,162.01,22,8,Residential,Tuesday,20-May,38.710221,-121.341651
6344 BONHAM CIR,CITRUS HEIGHTS,95610,5,4,2085,256054,122.81,15,9,Multi-Family,Tuesday,20-May,38.682358,-121.272876
8207 YORKTON WAY,SACRAMENTO,95829,3,2,2170,257729,118.77,12,3,Residential,Tuesday,20-May,38.45967,-121.360461
7922 MANSELL WAY,ELK GROVE,95758,4,2,1595,260000,163.01,16,7,Residential,Tuesday,20-May,38.409634,-121.410787
5712 MELBURY CIR,ANTELOPE,95843,3,2,1567,261000,166.56,19,2,Residential,Tuesday,20-May,38.705849,-121.334701
632 NEWBRIDGE LN,LINCOLN,95648,4,2,1559,261800,167.93,20,7,Residential,Tuesday,20-May,38.879084,-121.298586
1570 GLIDDEN AVE,SACRAMENTO,95822,4,2,1253,264469,211.07,22,6,Residential,Tuesday,20-May,38.482704,-121.500433
8108 FILIFERA WAY,ANTELOPE,95843,4,3,1768,265000,149.89,11,9,Residential,Tuesday,20-May,38.717042,-121.35468
230 BANKSIDE WAY,SACRAMENTO,95835,4,2,1750,270000,154.29,23,8,Residential,Tuesday,20-May,38.676937,-121.529244
5342 CALABRIA WAY,SACRAMENTO,95835,4,3,2030,270000,133,9,5,Residential,Tuesday,20-May,38.671807,-121.498274
47 NAPONEE CT,SACRAMENTO,95835,3,2,1531,270000,176.36,15,6,Residential,Tuesday,20-May,38.665704,-121.529096
4236 ADRIATIC SEA WAY,SACRAMENTO,95834,3,3,1499,270000,180.12,13,8,Residential,Tuesday,20-May,38.647961,-121.543162
8864 REMBRANT CT,ELK GROVE,95624,4,3,1653,275000,166.36,25,3,Residential,Tuesday,20-May,38.435288,-121.375703
9455 SEA CLIFF WAY,ELK GROVE,95758,4,2,2056,275000,133.75,20,8,Residential,Tuesday,20-May,38.411522,-121.481406
9720 LITTLE HARBOR WAY,ELK GROVE,95624,4,3,2494,280000,112.27,25,6,Residential,Tuesday,20-May,38.404934,-121.352405
8806 PHOENIX AVE,FAIR OAKS,95628,3,2,1450,286013,197.25,17,2,Residential,Tuesday,20-May,38.660322,-121.230101
3578 LOGGERHEAD WAY,SACRAMENTO,95834,4,2,2169,292000,134.62,13,5,Residential,Tuesday,20-May,38.633028,-121.526755
1416 LOCKHART WAY,ROSEVILLE,95747,3,2,1440,292000,202.78,25,8,Residential,Tuesday,20-May,38.752399,-121.330328
5413 BUENA VENTURA WAY,FAIR OAKS,95628,3,2,1527,293993,192.53,14,3,Residential,Tuesday,20-May,38.664552,-121.255937
37 WHITE BIRCH CT,ROSEVILLE,95678,3,2,1401,294000,209.85,11,6,Residential,Tuesday,20-May,38.776327,-121.284514
405 MARLIN SPIKE WAY,SACRAMENTO,95838,3,2,1411,296769,210.33,22,7,Residential,Tuesday,20-May,38.65783,-121.456842
1102 CHESLEY LN,LINCOLN,95648,4,4,1450,297500,205.17,20,2,Residential,Tuesday,20-May,38.864864,-121.313988
11281 STANFORD COURT LN Unit 604,GOLD RIVER,95670,4,3,1435,300000,209.06,22,4,Condo,Tuesday,20-May,38.625289,-121.260286
7320 6TH ST,RIO LINDA,95673,3,1,1284,300000,233.64,15,2,Residential,Tuesday,20-May,38.700553,-121.452223
993 MANTON CT,GALT,95632,4,3,2307,300000,130.04,25,6,Residential,Tuesday,20-May,38.272942,-121.289148
4487 PANORAMA DR,PLACERVILLE,95667,3,2,1329,300000,225.73,15,6,Residential,Tuesday,20-May,38.694559,-120.848157
5651 OVERLEAF WAY,SACRAMENTO,95835,4,2,1910,300500,157.33,15,5,Residential,Tuesday,20-May,38.677454,-121.494791
2015 PROMONTORY POINT LN,GOLD RIVER,95670,3,2,1981,305000,153.96,15,5,Residential,Tuesday,20-May,38.628732,-121.261149
3224 PARKHAM DR,ROSEVILLE,95747,4,3,1990,306500,154.02,5,2,Residential,Tuesday,20-May,38.772771,-121.364877
15 VANESSA PL,SACRAMENTO,95835,4,2,1850,312500,168.92,16,6,Residential,Tuesday,20-May,38.668692,-121.54549
1312 RENISON LN,LINCOLN,95648,5,3,1995,315000,157.89,13,9,Residential,Tuesday,20-May,38.866409,-121.308485
8 RIVER RAFT CT,SACRAMENTO,95823,4,2,2205,319789,145.03,8,7,Residential,Tuesday,20-May,38.447353,-121.434969
2251 LAMPLIGHT LN,LINCOLN,95648,2,2,1449,330000,227.74,9,2,Residential,Tuesday,20-May,38.849924,-121.275729
106 FARHAM DR,FOLSOM,95630,3,2,1258,330000,262.32,24,9,Residential,Tuesday,20-May,38.667834,-121.168578
5405 NECTAR CIR,ELK GROVE,95757,3,2,2575,331000,128.54,18,3,Residential,Tuesday,20-May,38.387014,-121.440967
5411 10TH AVE,SACRAMENTO,95820,2,1,539,334000,619.67,25,2,Residential,Tuesday,20-May,38.542727,-121.442449
3512 RAINSONG CIR,RANCHO CORDOVA,95670,4,3,2208,336000,152.17,7,6,Residential,Tuesday,20-May,38.573488,-121.282809
1106 55TH ST,SACRAMENTO,95819,3,1,1108,339000,305.96,18,3,Residential,Tuesday,20-May,38.563805,-121.436395
411 ILLSLEY WAY,FOLSOM,95630,4,2,1595,339000,212.54,18,2,Residential,Tuesday,20-May,38.652002,-121.129504
796 BUTTERCUP CIR,GALT,95632,4,2,2159,345000,159.8,17,4,Residential,Tuesday,20-May,38.279581,-121.300828
1230 SANDRA CIR,PLACERVILLE,95667,4,3,2295,350000,152.51,9,3,Residential,Tuesday,20-May,38.738141,-120.784145
318 ANACAPA DR,ROSEVILLE,95678,3,2,1838,356000,193.69,21,5,Residential,Tuesday,20-May,38.782094,-121.297133
3975 SHINING STAR DR,SACRAMENTO,95823,4,2,1900,361745,190.39,24,9,Residential,Tuesday,20-May,38.487409,-121.461413
1620 BASLER ST,SACRAMENTO,95811,4,2,1718,361948,210.68,20,6,Residential,Tuesday,20-May,38.591822,-121.478644
9688 NATURE TRAIL WAY,ELK GROVE,95757,5,3,3389,370000,109.18,8,4,Residential,Tuesday,20-May,38.405224,-121.479275
5924 TANUS CIR,ROCKLIN,95677,4,2,2595,380000,146.44,6,8,Residential,Tuesday,20-May,38.778691,-121.204292
9629 CEDAR OAK WAY,ELK GROVE,95757,5,4,3260,385000,118.1,23,4,Residential,Tuesday,20-May,38.405527,-121.431746
3429 FERNBROOK CT,CAMERON PARK,95682,3,2,2016,399000,197.92,11,9,Residential,Tuesday,20-May,38.664225,-121.007173
2121 HANNAH WAY,ROCKLIN,95765,4,2,2607,402000,154.2,19,7,Residential,Tuesday,20-May,38.805749,-121.280931
10104 ANNIE ST,ELK GROVE,95757,4,3,2724,406026,149.06,9,8,Residential,Tuesday,20-May,38.390465,-121.443479
1092 MAUGHAM CT,GALT,95632,5,4,3746,420000,112.12,16,2,Residential,Tuesday,20-May,38.271646,-121.286848
5404 ALMOND FALLS WAY,RANCHO CORDOVA,95742,4,4,3550,425000,119.72,22,6,Residential,Tuesday,20-May,38.527502,-121.233492
6306 CONEJO,RANCHO MURIETA,95683,4,2,3192,425000,133.15,13,3,Residential,Tuesday,20-May,38.512602,-121.087233
14 CASA VATONI PL,SACRAMENTO,95834,4,3,3214,433500,134.88,20,9,Residential,Tuesday,20-May,38.650221,-121.551704
1456 EAGLESFIELD LN,LINCOLN,95648,4,3,3200,436746,136.48,17,4,Residential,Tuesday,20-May,38.857635,-121.311375
4100 BOTHWELL CIR,EL DORADO HILLS,95762,5,3,3260,438700,134.57,20,8,Residential,Tuesday,20-May,38.679136,-121.034329
427 21ST ST,SACRAMENTO,95811,2,1,1247,445000,356.86,5,8,Residential,Tuesday,20-May,38.582604,-121.47576
1044 GALSTON DR,FOLSOM,95630,4,2,2581,450000,174.35,14,2,Residential,Tuesday,20-May,38.676306,-121.09954
4440 SYCAMORE AVE,SACRAMENTO,95841,3,1,2068,460000,222.44,24,8,Residential,Tuesday,20-May,38.646374,-121.353658
1032 SOUZA DR,EL DORADO HILLS,95762,3,2,2150,460000,213.95,20,3,Residential,Tuesday,20-May,38.668239,-121.064437
9760 LAZULITE CT,ELK GROVE,95624,4,3,3992,460000,115.23,20,7,Residential,Tuesday,20-May,38.403609,-121.335541
241 LANFRANCO CIR,SACRAMENTO,95835,4,4,3397,465000,136.89,18,8,Residential,Tuesday,20-May,38.665696,-121.549437
5559 NORTHBOROUGH DR,SACRAMENTO,95835,5,3,3881,471750,121.55,14,3,Residential,Tuesday,20-May,38.677225,-121.519687
2125 BIG SKY DR,ROCKLIN,95765,5,3,3680,480000,130.43,13,5,Residential,Tuesday,20-May,38.801637,-121.278798
2109 HAMLET PL,CARMICHAEL,95608,2,2,1598,484000,302.88,23,7,Residential,Tuesday,20-May,38.602754,-121.329326
9970 STATE HIGHWAY 193,PLACERVILLE,95667,4,3,1929,485000,251.43,6,3,Residential,Tuesday,20-May,38.787877,-120.816676
2901 PINTAIL WAY,ELK GROVE,95757,4,3,3070,495000,161.24,24,2,Residential,Tuesday,20-May,38.398488,-121.473424
201 FIRESTONE DR,ROSEVILLE,95678,5,4,3250,500500,154,12,3,Residential,Tuesday,20-May,38.770153,-121.300039
1740 HIGH ST,AUBURN,95603,3,3,3350,504000,150.45,21,2,Residential,Tuesday,20-May,38.891935,-121.08434
2733 DANA LOOP,EL DORADO HILLS,95762,3,3,3360,541000,161.01,9,3,Residential,Tuesday,20-May,38.628459,-121.055078
9741 SADDLEBRED CT,WILTON,95693,3,2,3398,560000,164.8,6,9,Residential,Tuesday,20-May,38.408841,-121.198039
7756 TIGERWOODS DR,SACRAMENTO,95829,5,3,3984,572500,143.7,17,7,Residential,Tuesday,20-May,38.47643,-121.309243
5709 RIVER OAK WAY,CARMICHAEL,95608,4,2,2222,582000,261.93,11,5,Residential,Tuesday,20-May,38.602461,-121.330979
2981 WRINGER DR,ROSEVILLE,95661,4,3,3838,613401,159.82,9,5,Residential,Tuesday,20-May,38.735373,-121.227072
8616 ROCKPORTE CT,ROSEVILLE,95747,4,2,3800,614000,161.58,25,9,Residential,Tuesday,20-May,38.742118,-121.359909
4128 HILL ST,FAIR OAKS,95628,5,5,2846,680000,238.93,16,8,Residential,Tuesday,20-May,38.64167,-121.262099
1409 47TH ST,SACRAMENTO,95819,5,2,2484,699000,281.4,5,9,Residential,Tuesday,20-May,38.563244,-121.446876
3935 EL MONTE DR,LOOMIS,95650,4,4,1624,839000,516.63,22,9,Residential,Tuesday,20-May,38.813337,-121.133348
5840 WALERGA RD,SACRAMENTO,95842,2,1,840,40000,47.62,14,3,Condo,Monday,19-May,38.673678,-121.357471
923 FULTON AVE,SACRAMENTO,95825,1,1,484,48000,99.17,13,5,Condo,Monday,19-May,38.582279,-121.401482
261 REDONDO AVE,SACRAMENTO,95815,3,1,970,61500,63.4,10,8,Residential,Monday,19-May,38.620685,-121.460539
4030 BROADWAY,SACRAMENTO,95817,2,1,623,62050,99.6,9,9,Residential,Monday,19-May,38.546798,-121.460038
3660 22ND AVE,SACRAMENTO,95820,2,1,932,65000,69.74,18,9,Residential,Monday,19-May,38.532718,-121.46747
3924 HIGH ST,SACRAMENTO,95838,2,1,796,65000,81.66,9,7,Residential,Monday,19-May,38.638797,-121.435049
4734 14TH AVE,SACRAMENTO,95820,2,1,834,68000,81.53,9,4,Residential,Monday,19-May,38.539447,-121.450858
4734 14TH AVE,SACRAMENTO,95820,2,1,834,68000,81.53,17,6,Residential,Monday,19-May,38.539447,-121.450858
5050 RHODE ISLAND DR Unit 4,SACRAMENTO,95841,2,1,924,77000,83.33,14,5,Condo,Monday,19-May,38.658739,-121.333561
4513 GREENHOLME DR,SACRAMENTO,95842,2,1,795,82732,104.07,22,5,Condo,Monday,19-May,38.669104,-121.359008
3845 ELM ST,SACRAMENTO,95838,3,1,1250,84000,67.2,5,3,Residential,Monday,19-May,38.637337,-121.432835
3908 17TH AVE,SACRAMENTO,95820,2,1,984,84675,86.05,17,9,Residential,Monday,19-May,38.53728,-121.463531
7109 CHANDLER DR,SACRAMENTO,95828,3,1,1013,85000,83.91,16,9,Residential,Monday,19-May,38.497237,-121.424187
7541 SKELTON WAY,SACRAMENTO,95822,3,1,1012,90000,88.93,11,6,Residential,Monday,19-May,38.484274,-121.488851
9058 MONTOYA ST,SACRAMENTO,95826,2,1,795,90000,113.21,24,6,Condo,Monday,19-May,38.559144,-121.368387
1016 CONGRESS AVE,SACRAMENTO,95838,2,2,918,91000,99.13,24,2,Residential,Monday,19-May,38.630151,-121.442789
540 MORRISON AVE,SACRAMENTO,95838,3,1,1082,95000,87.8,11,5,Residential,Monday,19-May,38.637704,-121.453946
5303 JERRETT WAY,SACRAMENTO,95842,2,1,964,97500,101.14,21,5,Residential,Monday,19-May,38.663282,-121.359631
2820 DEL PASO BLVD,SACRAMENTO,95815,4,2,1404,100000,71.23,16,8,Multi-Family,Monday,19-May,38.617718,-121.440089
3715 TALLYHO DR Unit 78HIGH,SACRAMENTO,95826,1,1,625,100000,160,15,7,Condo,Monday,19-May,38.544627,-121.35796
6013 ROWAN WAY,CITRUS HEIGHTS,95621,2,1,888,101000,113.74,23,6,Residential,Monday,19-May,38.675893,-121.2963
2987 PONDEROSA LN,SACRAMENTO,95815,4,2,1120,102750,91.74,19,7,Residential,Monday,19-May,38.622243,-121.457863
3732 LANKERSHIM WAY,NORTH HIGHLANDS,95660,3,1,1331,112500,84.52,25,8,Residential,Monday,19-May,38.68972,-121.378399
2216 DUNLAP DR,SACRAMENTO,95821,3,1,1014,113000,111.44,23,3,Residential,Monday,19-May,38.623738,-121.41305
3503 21ST AVE,SACRAMENTO,95820,4,2,1448,114000,78.73,14,3,Residential,Monday,19-May,38.53361,-121.469308
523 EXCHANGE ST,SACRAMENTO,95838,3,1,966,114000,118.01,21,6,Residential,Monday,19-May,38.659414,-121.45408
8101 PORT ROYALE WAY,SACRAMENTO,95823,2,1,779,114750,147.3,6,7,Residential,Monday,19-May,38.463929,-121.438667
8020 WALERGA RD,ANTELOPE,95843,2,2,836,115000,137.56,23,9,Condo,Monday,19-May,38.71607,-121.364468
167 VALLEY OAK DR,ROSEVILLE,95678,2,2,1100,115000,104.55,13,5,Condo,Monday,19-May,38.732429,-121.288069
7876 BURLINGTON WAY,SACRAMENTO,95832,3,1,1174,116100,98.89,14,8,Residential,Monday,19-May,38.470093,-121.468347
3726 JONKO AVE,NORTH HIGHLANDS,95660,3,2,1207,119250,98.8,11,3,Residential,Monday,19-May,38.656131,-121.377265
7342 GIGI PL,SACRAMENTO,95828,4,4,1995,120000,60.15,11,6,Multi-Family,Monday,19-May,38.490704,-121.410176
2610 PHYLLIS AVE,SACRAMENTO,95820,2,1,804,120000,149.25,24,8,Residential,Monday,19-May,38.53105,-121.479574
4200 COMMERCE WAY Unit 711,SACRAMENTO,95834,2,2,958,120000,125.26,16,8,Condo,Monday,19-May,38.647523,-121.523217
4621 COUNTRY SCENE WAY,SACRAMENTO,95823,3,2,1366,120108,87.93,12,9,Residential,Monday,19-May,38.470187,-121.448149
5380 VILLAGE WOOD DR,SACRAMENTO,95823,2,2,901,121500,134.85,9,6,Residential,Monday,19-May,38.454949,-121.440578
2621 EVERGREEN ST,SACRAMENTO,95815,3,1,696,121725,174.89,24,4,Residential,Monday,19-May,38.613103,-121.444085
201 CARLO CT,GALT,95632,3,2,1080,122000,112.96,17,8,Residential,Monday,19-May,38.24227,-121.31032
6743 21ST ST,SACRAMENTO,95822,3,2,1104,123000,111.41,9,8,Residential,Monday,19-May,38.50372,-121.490657
3128 VIA GRANDE,SACRAMENTO,95825,2,1,972,125000,128.6,9,2,Residential,Monday,19-May,38.598321,-121.39161
2847 BELGRADE WAY,SACRAMENTO,95833,4,2,1390,125573,90.34,5,3,Residential,Monday,19-May,38.617173,-121.482541
7741 MILLDALE CIR,ELVERTA,95626,4,2,1354,126714,93.58,11,4,Residential,Monday,19-May,38.705834,-121.43919
9013 CASALS ST,SACRAMENTO,95826,2,1,795,126960,159.7,8,2,Condo,Monday,19-May,38.557045,-121.37167
227 MAHAN CT Unit 1,ROSEVILLE,95678,2,1,780,127000,162.82,11,9,Condo,Monday,19-May,38.749723,-121.27008
7349 FLETCHER FARM DR,SACRAMENTO,95828,4,2,1587,127500,80.34,6,5,Residential,Monday,19-May,38.49069,-121.382619
7226 LARCHMONT DR,NORTH HIGHLANDS,95660,3,2,1209,130000,107.53,16,8,Residential,Monday,19-May,38.699269,-121.376334
4114 35TH AVE,SACRAMENTO,95824,2,1,1139,133105,116.86,6,5,Residential,Monday,19-May,38.520941,-121.459355
617 M ST,RIO LINDA,95673,2,2,1690,136500,80.77,17,3,Residential,Monday,19-May,38.691104,-121.451832
7032 FAIR OAKS BLVD,CARMICHAEL,95608,3,2,1245,139500,112.05,17,6,Condo,Monday,19-May,38.628563,-121.328297
2421 SANTINA WAY,ELVERTA,95626,3,2,1416,140000,98.87,23,9,Residential,Monday,19-May,38.71865,-121.407763
2368 CRAIG AVE,SACRAMENTO,95832,3,2,1300,140800,108.31,15,8,Residential,Monday,19-May,38.47807,-121.48114
2123 AMANDA WAY,SACRAMENTO,95822,3,2,1120,145000,129.46,16,9,Residential,Monday,19-May,38.484896,-121.486948
7620 DARLA WAY,SACRAMENTO,95828,4,2,1590,147000,92.45,12,3,Residential,Monday,19-May,38.478502,-121.403517
8344 FIELDPOPPY CIR,SACRAMENTO,95828,3,2,1407,149600,106.33,18,3,Residential,Monday,19-May,38.479083,-121.400702
3624 20TH AVE,SACRAMENTO,95820,5,2,1516,150000,98.94,24,4,Residential,Monday,19-May,38.534508,-121.467907
10001 WOODCREEK OAKS BLVD Unit 1415,ROSEVILLE,95747,2,2,1554,150000,96.53,6,8,Condo,Monday,19-May,38.795529,-121.328819
2848 PROVO WAY,SACRAMENTO,95822,3,2,1646,150000,91.13,19,7,Residential,Monday,19-May,38.489759,-121.474754
6045 EHRHARDT AVE,SACRAMENTO,95823,3,2,1676,155000,92.48,17,5,Residential,Monday,19-May,38.457157,-121.433065
1223 LAMBERTON CIR,SACRAMENTO,95838,3,2,1370,155435,113.46,12,4,Residential,Monday,19-May,38.646677,-121.437573
1223 LAMBERTON CIR,SACRAMENTO,95838,3,2,1370,155500,113.5,22,5,Residential,Monday,19-May,38.646677,-121.437573
6000 BIRCHGLADE WAY,CITRUS HEIGHTS,95621,4,2,1351,158000,116.95,24,3,Residential,Monday,19-May,38.70166,-121.323249
7204 THOMAS DR,NORTH HIGHLANDS,95660,3,2,1152,158000,137.15,20,5,Residential,Monday,19-May,38.697898,-121.377687
8363 LANGTREE WAY,SACRAMENTO,95823,3,2,1452,160000,110.19,19,5,Residential,Monday,19-May,38.45356,-121.435959
1675 VERNON ST Unit 8,ROSEVILLE,95678,2,1,990,160000,161.62,23,3,Residential,Monday,19-May,38.734136,-121.299639
6632 IBEX WOODS CT,CITRUS HEIGHTS,95621,2,2,1162,164000,141.14,5,5,Residential,Monday,19-May,38.720868,-121.309855
117 EVCAR WAY,RIO LINDA,95673,3,2,1182,164000,138.75,9,4,Residential,Monday,19-May,38.687659,-121.4633
6485 LAGUNA MIRAGE LN,ELK GROVE,95758,2,2,1112,165000,148.38,25,4,Residential,Monday,19-May,38.42465,-121.430137
746 MOOSE CREEK WAY,GALT,95632,3,2,1100,167000,151.82,19,8,Residential,Monday,19-May,38.283085,-121.302071
8306 CURLEW CT,CITRUS HEIGHTS,95621,4,2,1280,167293,130.7,15,9,Residential,Monday,19-May,38.715781,-121.298519
8306 CURLEW CT,CITRUS HEIGHTS,95621,4,2,1280,167293,130.7,25,5,Residential,Monday,19-May,38.715781,-121.298519
5217 ARGO WAY,SACRAMENTO,95820,3,1,1039,168000,161.69,6,3,Residential,Monday,19-May,38.52774,-121.433669
7108 HEATHER TREE DR,SACRAMENTO,95842,3,2,1159,170000,146.68,12,3,Residential,Monday,19-May,38.695677,-121.36022
2956 DAVENPORT WAY,SACRAMENTO,95833,4,2,1917,170000,88.68,21,8,Residential,Monday,19-May,38.620687,-121.482619
10062 LINCOLN VILLAGE DR,SACRAMENTO,95827,3,2,1520,170000,111.84,19,6,Residential,Monday,19-May,38.564,-121.320023
